"Номер заказа";"Номер отправления";"Принят в обработку";"Дата отгрузки";"Дата отгрузки без просрочки";"Статус";"Дата доставки";"Фактическая дата передачи в доставку";"Дата отмены";"Сумма отправления";"Код валюты отправления";"Название товара";"Цвет товара";"Размер товара";"SKU";"Артикул";"Ваша цена";"Код валюты товара";"Оплачено покупателем";"Код валюты покупателя";"Количество";"Стоимость доставки";"Связанные отправления";"Выкуп товара";"Цена товара до скидок";"Скидка %";"Скидка руб";"Акции";"Подъем на этаж"
"85972378-0165";"85972378-0165-1";"2026-03-17 17:04:24";"2026-03-24 20:00:00";"2026-03-24 20:00:00";"Доставлен";"2026-03-25 14:31:43";"2026-03-18 18:50:25";;"8037.00";"RUB";"Поворотный кулак, цапфа NTY ZZPFR027";;;"3066204146";"ZZPFR027=NTY";"8037.00";"RUB";"5106.00";"RUB";"1";;;;"10046.00";"20%";"2009.00";"Системная виртуальная скидка селлера Россия (RUB)";
"79017191-0268";"79017191-0268-1";"2026-03-17 17:35:33";"2026-03-17 08:00:00";"2026-03-20 15:59:00";"Отменён";;;"2026-03-17 17:43:27";"4616.00";"RUB";"Ремкомплект Опора стойки подвески 3704701 LEMFORDER";;;"2632815067";"3704701=LMF";"2308.00";"RUB";"1336.82";"RUB";"2";;;;"2885.00";"20%";"1154.00";"Системная виртуальная скидка селлера Россия (RUB)";
"74079745-0360";"74079745-0360-1";"2026-03-17 17:49:48";"2026-03-17 15:00:00";"2026-03-18 17:59:00";"Доставлен";"2026-03-22 17:32:00";"2026-03-18 18:37:38";;"1045.00";"RUB";"Фильтр салона Filtron, K11822x";;;"598243641";"K11822x=FLR";"1045.00";"RUB";"566.04";"RUB";"1";;;;"1450.00";"28%";"405.00";"Системная виртуальная скидка селлера Россия (RUB)";
"16968006-0063";"16968006-0063-1";"2026-03-17 18:41:17";"2026-03-17 15:00:00";"2026-03-18 17:59:00";"Доставлен";"2026-03-25 15:23:21";"2026-03-18 18:37:29";;"1650.00";"RUB";"IQ20TT Свеча зажигания DENSO 1 шт.";"белый";;"613583237";"IQ20TT=DNS";"1650.00";"RUB";"881.90";"RUB";"1";;;;"2124.00";"22%";"474.00";"Системная виртуальная скидка селлера Россия (RUB)";
"11772741-0802";"11772741-0802-1";"2026-03-17 18:45:07";"2026-03-17 09:00:00";"2026-03-19 16:59:00";"Доставлен";"2026-03-25 15:02:47";"2026-03-19 10:08:09";;"2141.00";"RUB";"Кожух, щиток тормозного диска NTY HTOFR007";;;"3066169738";"HTOFR007=NTY";"2141.00";"RUB";"1263.56";"RUB";"1";;;;"2676.00";"20%";"535.00";"Системная виртуальная скидка селлера Россия (RUB)";
"11772741-0802";"11772741-0802-3";"2026-03-17 18:45:07";"2026-03-21 20:00:00";"2026-03-21 20:00:00";"Доставлен";"2026-03-25 15:02:46";"2026-03-20 09:37:38";;"2117.00";"RUB";"Кожух, щиток тормозного диска Nty HTOFR006";;;"3044700816";"HTOFR006=NTY";"2117.00";"RUB";"1408.00";"RUB";"1";;;;"2674.00";"21%";"557.00";"Системная виртуальная скидка селлера Россия (RUB)";
"0112209610-0038";"0112209610-0038-1";"2026-03-17 18:51:23";"2026-04-16 20:00:00";"2026-04-16 20:00:00";"Ожидает отгрузки";;;;"1795.00";"RUB";"Сальник коленвала CORTECO 12010894B";;;"1384675974";"12010894B=CRT";"1795.00";"RUB";"1319.00";"RUB";"1";"0.00";;;"2244.00";"20%";"449.00";"Системная виртуальная скидка селлера Россия (RUB)";
"0123133346-0411";"0123133346-0411-1";"2026-03-17 22:53:33";"2026-03-18 15:00:00";"2026-03-23 17:59:00";"Доставлен";"2026-03-24 10:05:59";"2026-03-21 16:52:37";;"1204.00";"RUB";"HOSHI 119RU25 Ремень ГРМ";"черный";;"741053886";"119RU25=HSH";"301.00";"RUB";"106.57";"RUB";"4";;;;"1250.00";"76%";"3796.00";"Системная виртуальная скидка селлера Россия (RUB), Максимальный бустинг";
"0127895743-0153";"0127895743-0153-2";"2026-03-18 01:53:13";"2026-03-18 15:00:00";"2026-03-23 17:59:00";"Доставлен";"2026-03-30 02:30:56";"2026-03-21 16:52:31";;"339.00";"RUB";"Honda Часть ответная крепежа 90682SEA003 ";;;"599182857";"90682SEA003=HON[10]";"339.00";"RUB";"120.00";"RUB";"1";;;;"488.00";"31%";"149.00";"Системная виртуальная скидка селлера Россия (RUB), Максимальный бустинг";
"0145147553-0054";"0145147553-0054-2";"2026-03-18 03:45:01";"2026-03-18 09:00:00";"2026-03-19 17:59:00";"Отменён";;"2026-03-25 18:17:10";"2026-03-26 04:40:31";"163.00";"RUB";"A78498S Влажные салфетки ""Для салона из кожи"", 25 шт.AVS AVK-206";;;"653829682";"A78498S=AVS";"163.00";"RUB";"126.67";"RUB";"1";;;;"216.00";"25%";"53.00";"Системная виртуальная скидка селлера Россия (RUB)";
"84158268-0054";"84158268-0054-1";"2026-03-18 05:37:51";"2026-03-18 09:00:00";"2026-03-19 17:59:00";"Доставлен";"2026-03-26 13:45:03";"2026-03-19 11:43:05";;"6324.00";"RUB";"Замок двери багажника Nty EZCLR024";;;"3058164921";"EZCLR024=NTY";"3162.00";"RUB";"2112.38";"RUB";"2";;;;"3952.00";"20%";"1580.00";"Системная виртуальная скидка селлера Россия (RUB)";
"0114489504-0385";"0114489504-0385-1";"2026-03-18 06:59:01";"2026-03-18 15:00:00";"2026-03-19 17:59:00";"Отменён";;;"2026-03-18 07:38:09";"45578.00";"RUB";"Задний фонарь 218-1995L-UE DEPO";;;"2114985096";"2181995LUE=DEP";"45578.00";"RUB";"25190.00";"RUB";"1";;;;"56972.00";"20%";"11394.00";"Системная виртуальная скидка селлера Россия (RUB)";
"04439644-0117";"04439644-0117-1";"2026-03-18 07:07:59";"2026-03-18 09:00:00";"2026-03-20 16:59:00";"Доставлен";"2026-03-24 08:54:52";"2026-03-20 14:02:40";;"134.00";"RUB";"Лампа автомобильная Bosch ""Pure light"", W5W 12V. 1987302206";;;"596671075";"1987302206=BSH";"134.00";"RUB";"103.32";"RUB";"1";;;;"168.00";"20%";"34.00";"Системная виртуальная скидка селлера Россия (RUB)";
"44222477-0558";"44222477-0558-1";"2026-03-18 08:06:38";"2026-03-22 20:00:00";"2026-03-22 20:00:00";"Не принято на СЦ";;;;"1315.00";"RUB";"Лампа автомобильная  Philips 12644LLC1, H19 12V- 60/55W, PU43t-3, увелич. срок службы LongLife EcoVision";;;"596673611";"12644LLC1=PLS";"1315.00";"RUB";"671.00";"RUB";"1";"0.00";;;"1644.00";"20%";"329.00";"Системная виртуальная скидка селлера Россия (RUB)";
"38904320-0157";"38904320-0157-3";"2026-03-18 09:21:11";"2026-03-22 20:00:00";"2026-03-22 20:00:00";"Ожидает в ПВЗ";;"2026-03-25 09:46:43";;"1037.00";"RUB";"Салонный фильтр CN1011K NORDFIL";;;"2943424892";"CN1011K=NDF";"1037.00";"RUB";"686.00";"RUB";"1";"0.00";;;"1296.00";"20%";"259.00";"Системная виртуальная скидка селлера Россия (RUB)";
"51188724-0278";"51188724-0278-1";"2026-03-18 10:02:33";"2026-03-18 09:00:00";"2026-03-23 16:59:00";"Доставлен";"2026-03-30 10:10:52";"2026-03-23 14:34:48";;"7202.00";"RUB";"FERODO Колодки тормозные дисковые FDB1639";;;"3181095461";"FDB1639=FRD";"7202.00";"RUB";"4021.90";"RUB";"1";;;;"9002.00";"20%";"1800.00";"Системная виртуальная скидка селлера Россия (RUB)";
"0128414499-0231";"0128414499-0231-1";"2026-03-18 10:31:47";"2026-03-18 15:00:00";"2026-03-19 17:59:00";"Доставлен";"2026-03-23 16:43:59";"2026-03-18 18:37:35";;"5716.00";"RUB";"500000110 Подшипник выжимной MB,Volvo (500 0001 10 LUK)";;;"653902926";"500000110=LUK";"5716.00";"RUB";"3384.76";"RUB";"1";;;;"7145.00";"20%";"1429.00";"Системная виртуальная скидка селлера Россия (RUB)";
